venue_id,name,gu,axis,status,reserve_rank
VBCDCF1872FF5,롤랜드 헬스클럽PT,서초구,exercise_body,reserve,4
VBD7B8EB4FB49,삼성제일한의원,송파구,medical_wellness,primary,
VBDDC0B64EA0F,비비라인맆팅의원,서초구,medical_wellness,primary,
VC050FCAFC6DD,삼호궁전사우나,서초구,relax_recovery,primary,
VC4FB696DD257,옵티멈스포츠클럽,송파구,relax_recovery,primary,
VC538C1AE0152,뷰티라인,송파구,beauty_care,reserve,20
VC55833B9F77A,리바이브 PT,송파구,exercise_body,reserve,5
VC7C674C5BFBD,눈시울,강남구,beauty_care,primary,
VC977326B682B,아우라짐 논현역점,서초구,exercise_body,primary,
VCB9F03E47124,디토 뷰티샵,강남구,beauty_care,primary,
VD0FA84B27981,위스테이 휘트니스,송파구,exercise_body,reserve,6
VD5F44F31005D,우리내과의원,강남구,medical_wellness,reserve,14
VD8EA05439F8C,에스네일,서초구,beauty_care,primary,
VDA994F8B10AF,에이엘피트니스,서초구,exercise_body,primary,
VDBA1E20F28AC,더케어클리닉의원,송파구,medical_wellness,primary,
VDBAF892C4390,네일 끌림,송파구,beauty_care,primary,
VDE85CAF43249,잼짐 헬스& PT 반포점,서초구,exercise_body,reserve,3
VDEE86DDBEACA,청평안마원,송파구,relax_recovery,primary,
VE21041CE4187,수정사우나,서초구,relax_recovery,primary,
VE23046095334,현대에프앤에스,강남구,relax_recovery,primary,
VE2F9DA16D575,스테이션디(STATION D),강남구,exercise_body,primary,
VE6E6479A58B8,소마한의원,강남구,medical_wellness,primary,
VED527B803BF1,더편한지압마사지안마원,강남구,relax_recovery,primary,
VF410FF436ADF,윈느성형외과의원,서초구,medical_wellness,primary,
VF5490339C258,반포휘트니스사우나,서초구,relax_recovery,primary,
VF6C3358B8149,리미트리스 짐,강남구,exercise_body,primary,
VF89FB8226EF9,스킨앤바디 이김,강남구,beauty_care,primary,
VFAC989C1A51B,베네짐 삼전점,송파구,relax_recovery,reserve,12
VFCD0664A168F,순희약손뷰티,서초구,beauty_care,primary,
VFFD70E4BC75F,신학철피부과의원,강남구,medical_wellness,primary,
